metric,n,mean,median,q25,q75,iqr,std,ci95_low,ci95_high,label,model,weight_path
psnr_all,95,32.1285978618421,31.78766441345215,29.058690071105957,35.603759765625,6.545069694519043,3.667625352848642,31.381464408888554,32.87573131479565,thesis_ablation_best_unet_usprobe_finetuned,baseline,runs\ultrasound_realism_compare\thesis_ablation_best_unet128_usprobe_20260531_114414\finetune\best_model.pt
psnr_known,95,119.99980709678249,119.99980926513672,119.99974822998047,119.99989318847656,0.00014495849609375,9.05643924484121e-05,119.99978864787326,119.99982554569172,thesis_ablation_best_unet_usprobe_finetuned,baseline,runs\ultrasound_realism_compare\thesis_ablation_best_unet128_usprobe_20260531_114414\finetune\best_model.pt
psnr_missing,95,30.768686334710374,30.249069213867188,27.728740692138672,34.2402458190918,6.511505126953125,3.683986121642459,30.01822002288878,31.519152646531968,thesis_ablation_best_unet_usprobe_finetuned,baseline,runs\ultrasound_realism_compare\thesis_ablation_best_unet128_usprobe_20260531_114414\finetune\best_model.pt
rmse_all,95,0.02689037177907793,0.0257404875010252,0.01658877171576023,0.035242997109889984,0.018654225394129753,0.01050828832505371,0.024749724088650414,0.029031019469505447,thesis_ablation_best_unet_usprobe_finetuned,baseline,runs\ultrasound_realism_compare\thesis_ablation_best_unet128_usprobe_20260531_114414\finetune\best_model.pt
rmse_known,95,1.0000226343196883e-06,1.0000229622164625e-06,1.0000124461839732e-06,1.0000300108004012e-06,1.7564616427989677e-11,1.0425716510791022e-11,1.0000205104927358e-06,1.0000247581466409e-06,thesis_ablation_best_unet_usprobe_finetuned,baseline,runs\ultrasound_realism_compare\thesis_ablation_best_unet128_usprobe_20260531_114414\finetune\best_model.pt
rmse_missing,95,0.03146642469065754,0.030728869140148163,0.019408483058214188,0.041074855253100395,0.021666372194886208,0.012320387865175395,0.02895663346558434,0.03397621591573073,thesis_ablation_best_unet_usprobe_finetuned,baseline,runs\ultrasound_realism_compare\thesis_ablation_best_unet128_usprobe_20260531_114414\finetune\best_model.pt
ssim_all,95,0.8798676998991716,0.881474494934082,0.8674467206001282,0.8925645351409912,0.025117814540863037,0.012840459917616006,0.8772519645846829,0.8824834352136602,thesis_ablation_best_unet_usprobe_finetuned,baseline,runs\ultrasound_realism_compare\thesis_ablation_best_unet128_usprobe_20260531_114414\finetune\best_model.pt
ssim_known,95,0.91244986872924,0.9133322834968567,0.9095839262008667,0.9149540364742279,0.005370110273361206,0.0031817435806278044,0.9118017144498066,0.9130980230086735,thesis_ablation_best_unet_usprobe_finetuned,baseline,runs\ultrasound_realism_compare\thesis_ablation_best_unet128_usprobe_20260531_114414\finetune\best_model.pt
ssim_missing,95,0.867825132294705,0.8693976998329163,0.8503586947917938,0.8866707682609558,0.03631207346916199,0.018480451750998824,0.8640604719489745,0.8715897926404356,thesis_ablation_best_unet_usprobe_finetuned,baseline,runs\ultrasound_realism_compare\thesis_ablation_best_unet128_usprobe_20260531_114414\finetune\best_model.pt

