metric,n,mean,median,q25,q75,iqr,std,ci95_low,ci95_high,label,model,weight_path,eval_seed
rmse_all,19,0.044335755372517986,0.04843912646174431,0.028957782313227654,0.054970670491456985,0.026012888178229332,0.015039804533259754,0.037086801626603626,0.05158470911843235,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1341
rmse_known,19,1.000022920331838e-06,1.000022734842787e-06,1.0000154588851728e-06,1.0000307497648464e-06,1.5290879673557356e-11,1.0939447362241049e-11,1.0000176476869868e-06,1.000028192976689e-06,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1341
rmse_missing,19,0.05184573042941721,0.05630955100059509,0.0337198730558157,0.0645856112241745,0.030865738168358803,0.017564915874681036,0.04337971197519714,0.06031174888363728,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1341
ssim_all,19,0.8668000541235271,0.864459216594696,0.8549876809120178,0.8792271912097931,0.02423951029777527,0.015041343867919202,0.8595503584420563,0.8740497498049979,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1341
ssim_known,19,0.9092727428988406,0.9095320701599121,0.9083267450332642,0.9109988808631897,0.002672135829925537,0.002443150182979351,0.9080951822043799,0.9104503035933014,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1341
ssim_missing,19,0.8511938515462374,0.8457927107810974,0.8357903063297272,0.8699919581413269,0.03420165181159973,0.02118439252984597,0.8409833011867199,0.8614044019057548,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1341
mae_all,19,0.003508866544028646,0.0028563127852976322,0.0014817825285717845,0.0048514422960579395,0.003369659767486155,0.0020629255161759004,0.0025145682727342623,0.00450316481532303,thesis_ablation_best_unet_usprobe_finetuned,baseline,runs\ultrasound_realism_compare\thesis_ablation_best_unet128_usprobe_20260531_114414\finetune\best_model.pt,1337
mae_known,19,9.988109140937763e-10,1.1129025478950894e-09,7.016958680772234e-10,1.2956060668756209e-09,5.939101987983975e-10,4.1473435888455533e-10,7.989153517713332e-10,1.1987064764162194e-09,thesis_ablation_best_unet_usprobe_finetuned,baseline,runs\ultrasound_realism_compare\thesis_ablation_best_unet128_usprobe_20260531_114414\finetune\best_model.pt,1337
mae_missing,19,0.004829185040618636,0.004027232527732849,0.0020044964039698243,0.0067704361863434315,0.004765939782373607,0.0028590529532338386,0.00345116562758176,0.006207204453655512,thesis_ablation_best_unet_usprobe_finetuned,baseline,runs\ultrasound_realism_compare\thesis_ablation_best_unet128_usprobe_20260531_114414\finetune\best_model.pt,1337
psnr_all,19,32.052106957686576,32.303375244140625,29.278178215026855,35.38457679748535,6.106398582458496,3.589405194582941,30.322069032437227,33.782144882935924,thesis_ablation_best_unet_usprobe_finetuned,baseline,runs\ultrasound_realism_compare\thesis_ablation_best_unet128_usprobe_20260531_114414\finetune\best_model.pt,1337
psnr_known,19,119.99981287906044,119.99980926513672,119.999755859375,119.99986267089844,0.0001068115234375,8.34739451908394e-05,119.99977264590673,119.99985311221415,thesis_ablation_best_unet_usprobe_finetuned,baseline,runs\ultrasound_realism_compare\thesis_ablation_best_unet128_usprobe_20260531_114414\finetune\best_model.pt,1337
