noise_std,metric,n,mean,median,q25,q75,iqr,std,ci95_low,ci95_high
0.01,realized_input_delta_rms_known,19,0.007414724751326598,0.0074606710113584995,0.0072709687519818544,0.00751540414057672,0.0002444353885948658,0.00014449194350581697,0.007345081863826656,0.007484367638826541
0.01,mae_all,19,0.003248323612895451,0.0033189456444233656,0.0029216347029432654,0.003415218787267804,0.0004935840843245387,0.0003062311600970682,0.0031007249183650637,0.0033959223074258383
0.01,rmse_all,19,0.007816297051153685,0.007806205190718174,0.006643258035182953,0.008650507777929306,0.002007249742746353,0.001197475323477982,0.007239132420285686,0.008393461682021685
0.01,psnr_all,19,42.23685997410824,42.15119934082031,41.25923538208008,43.55312156677246,2.293886184692383,1.3347516602769136,41.593530266848234,42.88018968136825
0.01,ssim_all,19,0.8409752814393294,0.8428267240524292,0.8343214690685272,0.8451760709285736,0.010854601860046387,0.006512798126319634,0.8378362132240634,0.8441143496545954
0.01,mae_known,19,0.004390199864773374,0.004436480347067118,0.0042158139403909445,0.004507944220677018,0.0002921302802860737,0.0001703580254069443,0.004308089924867619,0.004472309804679128
0.01,rmse_known,19,0.0074147249719029975,0.0074606724083423615,0.0072709687519818544,0.007515403907746077,0.00024443515576422215,0.00014449181397818228,0.007345082146833376,0.0074843677969726186
0.01,psnr_known,19,42.59967101247687,42.54444122314453,42.4809513092041,42.76820373535156,0.28725242614746094,0.17006642138788505,42.51770162120933,42.6816404037444
0.01,ssim_known,19,0.8303433970401162,0.8328180909156799,0.8211329877376556,0.8360296189785004,0.014896631240844727,0.008971747284034808,0.8260191532683187,0.8346676408119137
0.01,mae_missing,19,0.0008919918928816179,0.0008856426575221121,0.0003026956401299685,0.0012078994768671691,0.0009052038367372006,0.0005880001135841064,0.0006085849099958011,0.0011753988757674347
0.01,rmse_missing,19,0.008232917575361697,0.008530628867447376,0.005122673697769642,0.010631935205310583,0.005509261507540941,0.0032828826452789162,0.006650618789744837,0.009815216360978556
0.01,psnr_missing,19,42.475933275724714,41.3803825378418,39.46807098388672,45.83754920959473,6.369478225708008,4.008125998592715,40.54407838310677,44.407788168342655
0.01,ssim_missing,19,0.8629030648030733,0.8633906245231628,0.8614310920238495,0.8640129268169403,0.0025818347930908203,0.0015968843387041342,0.8621333911890817,0.8636727384170649
0.02,known_fraction,19,0.6737130817614103,0.6744980812072754,0.6710429191589355,0.6755621433258057,0.004519224166870117,0.002652781090247967,0.6724344822039016,0.6749916813189191
0.02,realized_input_delta_rms_known,19,0.01482512674441463,0.014896764419972897,0.014526568353176117,0.015009257011115551,0.00048268865793943405,0.0002917056091707741,0.014684529141325675,0.014965724347503585
0.02,mae_all,19,0.00620301849649925,0.006306616589426994,0.00574810616672039,0.006438776617869735,0.0006906704511493444,0.0004248961929177412,0.005998225086952974,0.006407811906045526
0.02,rmse_all,19,0.013146845819918733,0.013227046467363834,0.012250496540218592,0.013740220572799444,0.0014897240325808525,0.000881446000189109,0.012722002447070243,0.013571689192767222
0.02,psnr_all,19,37.64203784340307,37.57073974609375,37.240156173706055,38.23695373535156,0.9967975616455078,0.581831918703431,37.36160383528477,37.922471851521365
0.02,ssim_all,19,0.6916596795383253,0.6945626139640808,0.6778868436813354,0.7008913457393646,0.023004502058029175,0.013571729784383856,0.6851183151714226,0.698201043905228
0.02,mae_known,19,0.008775108101728716,0.00885101780295372,0.008427589200437069,0.008994833566248417,0.000567244365811348,0.0003413371153635737,0.008610588878386252,0.00893962732507118
0.02,rmse_known,19,0.014825126450312765,0.014896765351295471,0.01452656602486968,0.015009257942438126,0.0004826919175684452,0.0002917057590207324,0.014684528774998443,0.014965724125627088
0.02,psnr_known,19,36.58163351761667,36.53815841674805,36.472816467285156,36.75677490234375,0.28395843505859375,0.17163268121112465,36.49890921327912,36.664357821954226
