experiment,model,weights_path,metric,n,mean,median,q25,q75,iqr,std,ci95_low,ci95_high
partialresunet3d_no_hard_constraint,partial,runs\ablation_final_128\partialresunet3d_no_hard_constraint\train\best_model.pt,psnr_missing,19,38.69871440686678,38.691558837890625,36.60449409484863,40.10933876037598,3.5048446655273438,2.8192220286600196,37.339892884949705,40.05753592878385
partialresunet3d_no_hard_constraint,partial,runs\ablation_final_128\partialresunet3d_no_hard_constraint\train\best_model.pt,rmse_all,19,0.015767306849164397,0.015775177627801895,0.012987819965928793,0.018321312963962555,0.005333492998033762,0.004421914273097349,0.013636012392298625,0.017898601306030167
partialresunet3d_no_hard_constraint,partial,runs\ablation_final_128\partialresunet3d_no_hard_constraint\train\best_model.pt,rmse_known,19,0.017316193908060853,0.016988595947623253,0.014285346027463675,0.019995898008346558,0.005710551980882883,0.004909887450101976,0.014949703908491659,0.019682683907630047
partialresunet3d_no_hard_constraint,partial,runs\ablation_final_128\partialresunet3d_no_hard_constraint\train\best_model.pt,rmse_missing,19,0.012176068083040024,0.01162577886134386,0.009879952296614647,0.014783719088882208,0.004903766792267561,0.0036559632035603235,0.010413950224342721,0.013938185941737328
partialresunet3d_no_hard_constraint,partial,runs\ablation_final_128\partialresunet3d_no_hard_constraint\train\best_model.pt,ssim_all,19,0.8835100217869407,0.8844485282897949,0.8744105398654938,0.8951238095760345,0.02071326971054077,0.013700797695801332,0.8769064486780376,0.8901135948958439
partialresunet3d_no_hard_constraint,partial,runs\ablation_final_128\partialresunet3d_no_hard_constraint\train\best_model.pt,ssim_known,19,0.8783397988269204,0.8799006342887878,0.8660743832588196,0.8938193619251251,0.027744978666305542,0.018170539779882443,0.8695818789941607,0.88709771865968
partialresunet3d_no_hard_constraint,partial,runs\ablation_final_128\partialresunet3d_no_hard_constraint\train\best_model.pt,ssim_missing,19,0.8934056194205033,0.8936980962753296,0.8906741738319397,0.8977497220039368,0.00707554817199707,0.005351639452572092,0.8908262117712407,0.895985027069766
partialresunet3d_no_gradient_loss,partial,runs\ablation_final_128\partialresunet3d_no_gradient_loss\train\best_model.pt,mae_all,19,0.0005355227246917295,0.0005012645851820707,0.00026900430384557694,0.0007879011973273009,0.000518896893481724,0.00030955819405572665,0.00038632045112385735,0.0006847249982596016
partialresunet3d_no_gradient_loss,partial,runs\ablation_final_128\partialresunet3d_no_gradient_loss\train\best_model.pt,mae_known,19,2.9762014928570503e-10,3.289306604870035e-10,2.217043146290898e-10,3.6786784729514466e-10,1.4616353266605486e-10,1.0775980624996417e-10,2.4568158522742757e-10,3.495587133439825e-10
partialresunet3d_no_gradient_loss,partial,runs\ablation_final_128\partialresunet3d_no_gradient_loss\train\best_model.pt,mae_missing,19,0.0015586789660645944,0.0014593370724469423,0.0008000660163816065,0.0023021837696433067,0.0015021177532617003,0.0008980466056834067,0.001125834357487528,0.001991523574641661
partialresunet3d_no_gradient_loss,partial,runs\ablation_final_128\partialresunet3d_no_gradient_loss\train\best_model.pt,psnr_all,19,43.60962255377518,43.482635498046875,41.047868728637695,45.54368209838867,4.495813369750977,3.0973203573882597,42.1167619280048,45.102483179545565
partialresunet3d_no_gradient_loss,partial,runs\ablation_final_128\partialresunet3d_no_gradient_loss\train\best_model.pt,psnr_known,19,119.9999546251799,119.99995422363281,119.99993896484375,119.99996566772461,2.6702880859375e-05,1.961242249131616e-05,119.99994517229484,119.99996407806495
partialresunet3d_no_gradient_loss,partial,runs\ablation_final_128\partialresunet3d_no_gradient_loss\train\best_model.pt,psnr_missing,19,38.96059638575504,38.91584396362305,36.41233444213867,40.87814521789551,4.465810775756836,3.0856186689275296,37.47337579328518,40.4478169782249
partialresunet3d_no_gradient_loss,partial,runs\ablation_final_128\partialresunet3d_no_gradient_loss\train\best_model.pt,rmse_all,19,0.006982805574999044,0.006696812342852354,0.005284676793962717,0.008868936449289322,0.003584259655326605,0.002284796320773739,0.005881568998985221,0.008084042151012867
partialresunet3d_no_gradient_loss,partial,runs\ablation_final_128\partialresunet3d_no_gradient_loss\train\best_model.pt,rmse_known,19,1.0000054544434533e-06,1.0000057955039665e-06,1.0000042607316573e-06,1.0000066481552494e-06,2.3874235921539366e-12,1.9278403581933926e-12,1.0000045252541441e-06,1.0000063836327625e-06
partialresunet3d_no_gradient_loss,partial,runs\ablation_final_128\partialresunet3d_no_gradient_loss\train\best_model.pt,rmse_missing,19,0.011920571449751916,0.011329423636198044,0.009043898433446884,0.01512248208746314,0.006078583654016256,0.0038870764758019483,0.01004706055952674,0.013794082339977093
partialresunet3d_no_gradient_loss,partial,runs\ablation_final_128\partialresunet3d_no_gradient_loss\train\best_model.pt,ssim_all,19,0.9068729532392401,0.9080159068107605,0.9050158858299255,0.9084782004356384,0.0034623146057128906,0.002106554896055215,0.9058576262799725,0.9078882801985078
partialresunet3d_no_gradient_loss,partial,runs\ablation_final_128\partialresunet3d_no_gradient_loss\train\best_model.pt,ssim_known,19,0.9107608575569955,0.9122709035873413,0.9077893197536469,0.9135852456092834,0.005795925855636597,0.003433943402919288,0.9091057498168117,0.9124159652971794
partialresunet3d_no_gradient_loss,partial,runs\ablation_final_128\partialresunet3d_no_gradient_loss\train\best_model.pt,ssim_missing,19,0.8994291424751282,0.9001674652099609,0.8980454504489899,0.9006663858890533,0.0026209354400634766,0.0015147761614879567,0.8986990437357625,0.9001592412144939
partialresunet3d_no_ms_ssim,partial,runs\ablation_final_128\partialresunet3d_no_ms_ssim\train\best_model.pt,mae_all,19,0.0005391048386962595,0.000496263091918081,0.00034025510831270367,0.0007037502655293792,0.0003634951572166756,0.0002854596758837372,0.0004015176790873163,0.0006766919983052026
partialresunet3d_no_ms_ssim,partial,runs\ablation_final_128\partialresunet3d_no_ms_ssim\train\best_model.pt,mae_known,19,2.9762014928570503e-10,3.289306604870035e-10,2.217043146290898e-10,3.6786784729514466e-10,1.4616353266605486e-10,1.0775980624996417e-10,2.4568158522742757e-10,3.495587133439825e-10
partialresunet3d_no_ms_ssim,partial,runs\ablation_final_128\partialresunet3d_no_ms_ssim\train\best_model.pt,mae_missing,19,0.0015703936836584226,0.0014679275918751955,0.0010202829726040363,0.002010214258916676,0.0009899312863126397,0.0008306936120735396,0.0011700121788568792,0.001970775188459966
partialresunet3d_no_ms_ssim,partial,runs\ablation_final_128\partialresunet3d_no_ms_ssim\train\best_model.pt,psnr_all,19,43.20100623682926,43.58784484863281,41.07928466796875,44.465389251708984,3.3861045837402344,2.767602039906841,41.867064753080825,44.53494772057769
partialresunet3d_no_ms_ssim,partial,runs\ablation_final_128\partialresunet3d_no_ms_ssim\train\best_model.pt,psnr_known,19,119.9999546251799,119.99995422363281,119.99993896484375,119.99996566772461,2.6702880859375e-05,1.961242249131616e-05,119.99994517229484,119.99996407806495
partialresunet3d_no_ms_ssim,partial,runs\ablation_final_128\partialresunet3d_no_ms_ssim\train\best_model.pt,psnr_missing,19,38.55197946648849,38.87791442871094,36.445064544677734,39.81678771972656,3.371723175048828,2.760464772273561,37.22147803562316,39.88248089735382
partialresunet3d_no_ms_ssim,partial,runs\ablation_final_128\partialresunet3d_no_ms_ssim\train\best_model.pt,rmse_all,19,0.007237489445527133,0.006616187281906605,0.005981810158118606,0.008831560146063566,0.0028497499879449606,0.0021293047420943836,0.006211197411460861,0.008263781479593404
partialresunet3d_no_ms_ssim,partial,runs\ablation_final_128\partialresunet3d_no_ms_ssim\train\best_model.pt,rmse_known,19,1.0000054544434533e-06,1.0000057955039665e-06,1.0000042607316573e-06,1.0000066481552494e-06,2.3874235921539366e-12,1.9278403581933926e-12,1.0000045252541441e-06,1.0000063836327625e-06
partialresunet3d_no_ms_ssim,partial,runs\ablation_final_128\partialresunet3d_no_ms_ssim\train\best_model.pt,rmse_missing,19,0.012358160689473152,0.011379003524780273,0.010214392095804214,0.015057844575494528,0.004843452479690313,0.0036315315342520787,0.010607818518442485,0.01410850286050382
partialresunet3d_no_ms_ssim,partial,runs\ablation_final_128\partialresunet3d_no_ms_ssim\train\best_model.pt,ssim_all,19,0.9069086689698068,0.9078382849693298,0.9052253067493439,0.9084312617778778,0.0032059550285339355,0.0022023188201044197,0.9058471852766252,0.9079701526629884
partialresunet3d_no_ms_ssim,partial,runs\ablation_final_128\partialresunet3d_no_ms_ssim\train\best_model.pt,ssim_known,19,0.9108692689945823,0.9122671484947205,0.9075396060943604,0.9137316644191742,0.006192058324813843,0.0036251316266496694,0.909122011480276,0.9126165265088886
partialresunet3d_no_ms_ssim,partial,runs\ablation_final_128\partialresunet3d_no_ms_ssim\train\best_model.pt,ssim_missing,19,0.8993292921467831,0.8993610739707947,0.8983047902584076,0.9003362357616425,0.0020314455032348633,0.001432623805995477,0.8986387895752909,0.9000197947182754
standard_unet3d_no_partialconv,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,mae_all,19,0.00039238069994577306,0.0004081874794792384,0.0001843731733970344,0.0005156337283551693,0.0003312605549581349,0.00023610743291878415,0.0002785805600230846,0.0005061808398684615
standard_unet3d_no_partialconv,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,mae_known,19,2.9762014928570503e-10,3.289306604870035e-10,2.217043146290898e-10,3.6786784729514466e-10,1.4616353266605486e-10,1.0775980624996417e-10,2.4568158522742757e-10,3.495587133439825e-10
standard_unet3d_no_partialconv,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,mae_missing,19,0.001143233368087462,0.00120740314014256,0.0005428444710560143,0.001521148718893528,0.0009783042478375137,0.0006871400149891026,0.0008120424822878774,0.0014744242538870466
standard_unet3d_no_partialconv,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,psnr_all,19,45.35504933407432,44.83793640136719,42.41289520263672,47.211334228515625,4.798439025878906,3.6224508222470915,43.609083926129806,47.10101474201884
standard_unet3d_no_partialconv,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,psnr_known,19,119.9999546251799,119.99995422363281,119.99993896484375,119.99996566772461,2.6702880859375e-05,1.961242249131616e-05,119.99994517229484,119.99996407806495
standard_unet3d_no_partialconv,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,psnr_missing,19,40.70602276450709,40.12800598144531,37.870107650756836,42.62215042114258,4.752042770385742,3.6171919959660337,38.962592029695124,42.449453499319056
standard_unet3d_no_partialconv,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,rmse_all,19,0.005807995967763035,0.005729322787374258,0.004393376177176833,0.007574537768959999,0.003181161591783166,0.0020605096464448728,0.004814862108406164,0.006801129827119907
standard_unet3d_no_partialconv,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,rmse_known,19,1.0000054544434533e-06,1.0000057955039665e-06,1.0000042607316573e-06,1.0000066481552494e-06,2.3874235921539366e-12,1.9278403581933926e-12,1.0000045252541441e-06,1.0000063836327625e-06
standard_unet3d_no_partialconv,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,rmse_missing,19,0.009916811152116248,0.009853708557784557,0.0074591918382793665,0.012779835145920515,0.005320643307641149,0.003510214860460159,0.00822494174613921,0.011608680558093285
standard_unet3d_no_partialconv,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,ssim_all,19,0.9082556680629128,0.9093765020370483,0.9060088992118835,0.9096480906009674,0.0036391913890838623,0.002361674037224266,0.9071173776136648,0.9093939585121608
standard_unet3d_no_partialconv,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,ssim_known,19,0.912083807744478,0.9138993620872498,0.9082278311252594,0.9146289825439453,0.006401151418685913,0.0037338456057852657,0.9102841517695038,0.9138834637194521
standard_unet3d_no_partialconv,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,ssim_missing,19,0.9009310791366979,0.9010868668556213,0.9003107249736786,0.9014604985713959,0.0011497735977172852,0.0008647024328930925,0.9005143059049607,0.9013478523684351
