case_id,path,noise_std,slice_count,sampling_strategy,input_delta_rms_known,output_delta_mae_all,output_delta_rmse_all,output_delta_psnr_all,output_delta_ssim_all,output_delta_mae_known,output_delta_rmse_known,output_delta_psnr_known,output_delta_ssim_known,output_delta_mae_missing,output_delta_rmse_missing,output_delta_psnr_missing,output_delta_ssim_missing,stability_ratio_all,stability_ratio_missing
liver_45,liver_45.nii.gz,0.01,64,fibonacci,0.0072263614274561405,0.0028270359616726637,0.005940270610153675,44.52387237548828,0.8337907791137695,0.004172289278358221,0.007226360961794853,42.82160949707031,0.8201771974563599,4.571112003759481e-05,0.0005260088946670294,65.58013916015625,0.8619371652603149,0.8220278863417988,0.07279028318020313
liver_45,liver_45.nii.gz,0.02,64,fibonacci,0.014446341432631016,0.005650763865560293,0.011876750737428665,38.506046295166016,0.6762919425964355,0.008337515406310558,0.014446343295276165,36.804840087890625,0.6341609358787537,9.588012471795082e-05,0.0011007378343492746,59.16632080078125,0.7633981108665466,0.8221286194026796,0.07619492031823068
liver_91,liver_91.nii.gz,0.005,64,fibonacci,0.0037065360229462385,0.0014971051132306457,0.003053198801353574,50.304901123046875,0.8926734328269958,0.002194406930357218,0.003706536255776882,48.620635986328125,0.8922945261001587,4.5121600123820826e-05,0.0003547268861439079,69.00212097167969,0.8934625387191772,0.8237337455921062,0.0957030726122402
liver_91,liver_91.nii.gz,0.01,64,fibonacci,0.0074088997207582,0.002989912871271372,0.006102913059294224,44.28925323486328,0.8424956798553467,0.00438267458230257,0.007408901117742062,42.604923248291016,0.8321325778961182,8.97808640729636e-05,0.000707779370713979,63.002044677734375,0.86407470703125,0.8237273130037281,0.09553096915739433
liver_91,liver_91.nii.gz,0.02,64,fibonacci,0.014809317886829376,0.005970161873847246,0.012197542004287243,38.27455139160156,0.6927558183670044,0.008753879927098751,0.014809315092861652,36.58930206298828,0.6570715308189392,0.00017365723033435643,0.0013799462467432022,57.2027587890625,0.7670606970787048,0.823639690733838,0.09318094575918674
liver_84,liver_84.nii.gz,0.005,64,fibonacci,0.0037938635796308517,0.0015766887227073312,0.00312977796420455,50.08972930908203,0.8987041711807251,0.0022940661292523146,0.003793864045292139,48.418365478515625,0.8996798992156982,8.186493505490944e-05,0.00046338155516423285,66.68122100830078,0.896670937538147,0.8249579613268755,0.12213975158519551
liver_84,liver_84.nii.gz,0.01,64,fibonacci,0.007564932573586702,0.0031440795864909887,0.006242143455892801,44.09332275390625,0.8519910573959351,0.004572670441120863,0.007564932573586702,42.42389678955078,0.8441202640533447,0.00016727634647395462,0.0009525390341877937,60.42234420776367,0.8683915734291077,0.8251419817920813,0.12591507259610296
liver_84,liver_84.nii.gz,0.02,64,fibonacci,0.015157121233642101,0.006295892875641584,0.012507325038313866,38.05671310424805,0.7111021280288696,0.009157935157418251,0.015157120302319527,36.387664794921875,0.6807716488838196,0.00033215837902389467,0.0019196004141122103,54.335784912109375,0.7743028402328491,0.8251781354465345,0.12664676784741596
liver_18,liver_18.nii.gz,0.005,64,fibonacci,0.003752883058041334,0.0015383516438305378,0.0030929974745959044,50.19240951538086,0.8954737782478333,0.0022480078041553497,0.0037528828252106905,48.51270294189453,0.895814836025238,6.0691352700814605e-05,0.0004002615751232952,67.953125,0.8947636485099792,0.8241656952162452,0.10665442246212584
liver_18,liver_18.nii.gz,0.01,64,fibonacci,0.007509012706577778,0.0030802618712186813,0.006189966574311256,44.166236877441406,0.8461765050888062,0.0044992100447416306,0.007509013172239065,42.48834228515625,0.8368478417396545,0.00012569928367156535,0.0008311390993185341,61.60652542114258,0.8656005263328552,0.8243382740435293,0.11068553640753188
liver_18,liver_18.nii.gz,0.02,64,fibonacci,0.015014823526144028,0.0061561595648527145,0.012375539168715477,38.148719787597656,0.6985298991203308,0.008994991891086102,0.015014825388789177,36.4695930480957,0.6645777821540833,0.00024508495698682964,0.0016211429610848427,55.80357360839844,0.7692258358001709,0.8242214200631136,0.10796949816040696
liver_58,liver_58.nii.gz,0.005,64,fibonacci,0.003595337737351656,0.0013860659673810005,0.0029430645518004894,50.62400436401367,0.8855162858963013,0.0020661321468651295,0.003595337737351656,48.88520812988281,0.8828724026679993,1.0101610314450227e-05,0.0001808197412174195,74.85508728027344,0.8908655643463135,0.8185780493513151,0.05029283878921824
liver_58,liver_58.nii.gz,0.01,64,fibonacci,0.007206163834780455,0.0027800332754850388,0.005899318493902683,44.58396530151367,0.8316091895103455,0.004143548663705587,0.007206164766103029,42.845916748046875,0.8171300888061523,2.126023537130095e-05,0.00038673021481372416,68.25183868408203,0.8609045743942261,0.818648955138891,0.0536665865057322
