case_id,path,model_label,weight_path,slice_count,known_fraction,mae_all,rmse_all,psnr_all,ssim_all,mae_known,rmse_known,psnr_known,ssim_known,mae_missing,rmse_missing,psnr_missing,ssim_missing
liver_127,liver_127.nii.gz,last_checkpoint,runs\ablation_final_128\standard_unet3d_no_partialconv\train\checkpoints\last.pt,64,0.6765017509460449,0.00033091806108132005,0.004994736053049564,46.029747009277344,0.911414384841919,3.53967688493384e-10,1.000006022877642e-06,119.99993896484375,0.9153635501861572,0.001022935495711863,0.008781658485531807,41.12846755981445,0.9031563997268677
liver_75,liver_75.nii.gz,best_model,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,64,0.6739368438720703,2.9672202799702063e-05,0.0015603762585669756,56.13541030883789,0.9035446047782898,9.324309380165374e-11,1.000001930151484e-06,119.99998474121094,0.9048674702644348,9.100119495997205e-05,0.002732614753767848,51.268428802490234,0.900810956954956
liver_75,liver_75.nii.gz,last_checkpoint,runs\ablation_final_128\standard_unet3d_no_partialconv\train\checkpoints\last.pt,64,0.6739368438720703,2.9728205845458433e-05,0.0015646953834220767,56.11140441894531,0.9035447835922241,9.324309380165374e-11,1.000001930151484e-06,119.99998474121094,0.9048673510551453,9.11729657673277e-05,0.0027401784900575876,51.244422912597656,0.9008118510246277
liver_86,liver_86.nii.gz,best_model,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,64,0.6775059700012207,0.0004511564038693905,0.00602608360350132,44.399295806884766,0.9116290211677551,3.524373570762407e-10,1.000006022877642e-06,119.99993896484375,0.915787935256958,0.0013989597791805863,0.010611440055072308,39.48451232910156,0.9028921723365784
liver_86,liver_86.nii.gz,last_checkpoint,runs\ablation_final_128\standard_unet3d_no_partialconv\train\checkpoints\last.pt,64,0.6775059700012207,0.00044971657916903496,0.0060280016623437405,44.39653396606445,0.9116390943527222,3.524373570762407e-10,1.000006022877642e-06,119.99993896484375,0.9158041477203369,0.0013944951351732016,0.010614817030727863,39.48175048828125,0.9028891921043396
liver_7,liver_7.nii.gz,best_model,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,64,0.6697335243225098,0.00037214759504422545,0.00560116907581687,45.034427642822266,0.91084885597229,3.0923824612116846e-10,1.0000053407566156e-06,119.99995422363281,0.915117084980011,0.001126809511333704,0.009746449068188667,40.22307586669922,0.9021939039230347
liver_7,liver_7.nii.gz,last_checkpoint,runs\ablation_final_128\standard_unet3d_no_partialconv\train\checkpoints\last.pt,64,0.6697335243225098,0.0003715077182278037,0.005592884495854378,45.04728317260742,0.9108548760414124,3.0923824612116846e-10,1.0000053407566156e-06,119.99995422363281,0.9151293635368347,0.0011248720111325383,0.009732034057378769,40.235931396484375,0.9021874666213989
liver_60,liver_60.nii.gz,best_model,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,64,0.6711230278015137,0.00010194283095188439,0.0031732895877212286,49.96980667114258,0.9057128429412842,1.5821258192438847e-10,1.0000029533330235e-06,119.99996948242188,0.907837450504303,0.000309972238028422,0.005533411167562008,45.14014434814453,0.9013777375221252
liver_60,liver_60.nii.gz,last_checkpoint,runs\ablation_final_128\standard_unet3d_no_partialconv\train\checkpoints\last.pt,64,0.6711230278015137,0.00010170938912779093,0.0031664164271205664,49.98863983154297,0.9057153463363647,1.5821258192438847e-10,1.0000029533330235e-06,119.99996948242188,0.9078400731086731,0.0003092624247074127,0.005521426443010569,45.158973693847656,0.9013801217079163
liver_101,liver_101.nii.gz,best_model,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,64,0.6755166053771973,0.0006438946584239602,0.007766703609377146,42.19526672363281,0.9118858575820923,3.834188799789473e-10,1.000006818685506e-06,119.99993896484375,0.9165520071983337,0.001984367845579982,0.013634540140628815,37.30718994140625,0.9021723866462708
