case_id,path,noise_std,slice_count,sampling_strategy,known_fraction,realized_input_delta_rms_known,mae_all,rmse_all,psnr_all,ssim_all,mae_known,rmse_known,psnr_known,ssim_known,mae_missing,rmse_missing,psnr_missing,ssim_missing
liver_78,liver_78.nii.gz,0.02,64,fibonacci,0.6747126579284668,0.014485937543213367,0.0057325782254338264,0.012127435766160488,38.32461929321289,0.6756859421730042,0.008382504805922508,0.014485934749245644,36.781070709228516,0.6340000033378601,0.00023608563060406595,0.004108739551156759,47.725826263427734,0.7621512413024902
liver_78,liver_78.nii.gz,0.05,64,fibonacci,0.6747126579284668,0.036227770149707794,0.014243812300264835,0.029864542186260223,30.496883392333984,0.30186572670936584,0.020974906161427498,0.03622777387499809,28.819168090820312,0.2339821606874466,0.00028214423218742013,0.0044228993356227875,47.08585739135742,0.44267022609710693
liver_45,liver_45.nii.gz,0.0,64,fibonacci,0.6740026473999023,0.0,9.811417839955539e-05,0.0024833681527525187,52.09918212890625,0.9059814810752869,6.064107549441644e-11,1.00000113434362e-06,119.99999237060547,0.9079499244689941,0.00030096605769358575,0.004349446855485439,47.2313232421875,0.9019120931625366
liver_45,liver_45.nii.gz,0.01,64,fibonacci,0.6740026473999023,0.007227156776934862,0.002908105729147792,0.006431507412344217,43.833740234375,0.8332674503326416,0.004171099979430437,0.007227156776934862,42.820648193359375,0.8196412920951843,0.0002968527842313051,0.0043469080701470375,47.23638916015625,0.8614396452903748
liver_45,liver_45.nii.gz,0.02,64,fibonacci,0.6740026473999023,0.014449317008256912,0.005720508750528097,0.01212052721530199,38.32957077026367,0.675597071647644,0.008343478664755821,0.014449317008256912,36.80305480957031,0.6335472464561462,0.0002974940580315888,0.004356468562036753,47.217308044433594,0.7625355124473572
liver_45,liver_45.nii.gz,0.05,64,fibonacci,0.6740026473999023,0.03610926866531372,0.014151372946798801,0.029777074232697487,30.522361755371094,0.3023562431335449,0.020829174667596817,0.036109261214733124,28.847627639770508,0.23404386639595032,0.00034495690488256514,0.0049090939573943615,46.179969787597656,0.44359278678894043
liver_91,liver_91.nii.gz,0.0,64,fibonacci,0.6755657196044922,0.0,0.00023994571529328823,0.004220366477966309,47.49299621582031,0.9095842242240906,3.3268271470987543e-10,1.000006022877642e-06,119.99995422363281,0.9129798412322998,0.0007395811844617128,0.007409463170915842,42.60426330566406,0.9025139808654785
liver_91,liver_91.nii.gz,0.01,64,fibonacci,0.6755657196044922,0.007412763312458992,0.0032000639475882053,0.007399558089673519,42.61588668823242,0.8410559296607971,0.004385839216411114,0.007412763312458992,42.600399017333984,0.830662190914154,0.0007309373468160629,0.007371985353529453,42.648311614990234,0.8626986742019653
liver_91,liver_91.nii.gz,0.02,64,fibonacci,0.6755657196044922,0.014800083823502064,0.006150847766548395,0.012875858694314957,37.804473876953125,0.6918160915374756,0.008753406815230846,0.014800084754824638,36.5947151184082,0.6561266779899597,0.0007315671537071466,0.00740918330848217,42.60459518432617,0.7661319971084595
liver_91,liver_91.nii.gz,0.05,64,fibonacci,0.6755657196044922,0.03700260445475578,0.015032012946903706,0.030735932290554047,30.247074127197266,0.32777172327041626,0.021876826882362366,0.03700260445475578,28.635353088378906,0.2689036726951599,0.0007791364914737642,0.007795931305736303,42.16264343261719,0.45035189390182495
