case_id,path,slice_count,repeat_index,geometry_seed,known_fraction,mae_all,rmse_all,psnr_all,ssim_all,mae_known,rmse_known,psnr_known,ssim_known,mae_missing,rmse_missing,psnr_missing,ssim_missing
liver_101,liver_101.nii.gz,8,0,558419675,0.1386399269104004,0.00666256807744503,0.035110339522361755,29.091299057006836,0.8505120873451233,1.2588513564892878e-11,1.0000001111620804e-06,120.0,0.8752463459968567,0.007734939455986023,0.037830546498298645,28.443147659301758,0.8465310335159302
liver_101,liver_101.nii.gz,8,1,711086790,0.1331772804260254,0.007049469277262688,0.03722599521279335,28.583072662353516,0.8482210040092468,1.9367193612729316e-11,1.0000002248489182e-06,120.0,0.8787916302680969,0.008132538758218288,0.03998353332281113,27.962377548217773,0.8435242176055908
liver_101,liver_101.nii.gz,8,2,380848430,0.1384124755859375,0.006882618181407452,0.03671801835298538,28.702415466308594,0.8492819666862488,1.6639011349295352e-11,1.0000002248489182e-06,120.0,0.8754566311836243,0.007988298311829567,0.0395575612783432,28.055410385131836,0.8450771570205688
liver_101,liver_101.nii.gz,8,3,1865026732,0.13795042037963867,0.009313044138252735,0.04806821420788765,26.36284065246582,0.8381615877151489,3.285026764499044e-11,1.0000004522225936e-06,120.0,0.8849412202835083,0.010803374461829662,0.051771633327007294,25.718162536621094,0.8306756615638733
liver_101,liver_101.nii.gz,8,4,2791513780,0.14068603515625,0.010464552789926529,0.05419963225722313,25.3200740814209,0.8347897529602051,3.0475372225780006e-11,1.0000004522225936e-06,120.0,0.882473886013031,0.01217779889702797,0.0584682896733284,24.661590576171875,0.8269829154014587
liver_101,liver_101.nii.gz,8,5,1187346040,0.13632440567016602,0.008861061185598373,0.04636916518211365,26.6754150390625,0.8381303548812866,2.259465357867807e-11,1.0000003385357559e-06,120.0,0.884213387966156,0.010259710252285004,0.04989464581012726,26.038921356201172,0.8308565616607666
liver_101,liver_101.nii.gz,8,6,3338441619,0.14095067977905273,0.0078187957406044,0.04179401323199272,27.577716827392578,0.8455253839492798,1.716485460712125e-11,1.0000002248489182e-06,120.0,0.8805722594261169,0.00910168420523405,0.04509257525205612,26.917898178100586,0.839775025844574
liver_101,liver_101.nii.gz,8,7,982564931,0.13582611083984375,0.008660949766635895,0.045086540281772614,26.9190616607666,0.8402327299118042,2.6632055935560395e-11,1.0000003385357559e-06,120.0,0.8802615404129028,0.010022230446338654,0.04850051552057266,26.28507423400879,0.8339412212371826
liver_101,liver_101.nii.gz,16,0,2140741663,0.2465229034423828,0.003930551465600729,0.023655591532588005,32.521324157714844,0.8783683180809021,6.156369164456166e-11,1.0000009069699445e-06,119.99999237060547,0.895591139793396,0.005216550547629595,0.02725202590227127,31.292022705078125,0.8727333545684814
liver_101,liver_101.nii.gz,16,1,3986169543,0.26302242279052734,0.003908680751919746,0.023744849488139153,32.488609313964844,0.8787006139755249,5.6182836161156047e-11,1.0000009069699445e-06,119.99999237060547,0.8973658680915833,0.0053036632016301155,0.027659371495246887,31.16315460205078,0.8720393180847168
