case_id,path,known_fraction_across_models_mean,known_fraction_across_models_std,mae_all_across_models_mean,mae_all_across_models_std,rmse_all_across_models_mean,rmse_all_across_models_std,psnr_all_across_models_mean,psnr_all_across_models_std,ssim_all_across_models_mean,ssim_all_across_models_std,mae_known_across_models_mean,mae_known_across_models_std,rmse_known_across_models_mean,rmse_known_across_models_std,psnr_known_across_models_mean,psnr_known_across_models_std,ssim_known_across_models_mean,ssim_known_across_models_std,mae_missing_across_models_mean,mae_missing_across_models_std,rmse_missing_across_models_mean,rmse_missing_across_models_std,psnr_missing_across_models_mean,psnr_missing_across_models_std,ssim_missing_across_models_mean,ssim_missing_across_models_std
liver_58,liver_58.nii.gz,0.6692333221435547,0.0,6.241268420126289e-05,1.171797633891751e-07,0.0024347505532205105,2.2713200080323985e-06,52.27091407775879,0.00810568190561514,0.9046810567378998,1.5594333949030793e-06,1.5403098241328905e-10,0.0,1.0000030670198612e-06,0.0,119.99996948242188,0.0,0.9064884781837463,2.1073424255447017e-06,0.00018869066116167232,3.542660760208913e-07,0.004233441548421979,3.949620686626359e-06,47.46613121032715,0.00810568190561514,0.9010247588157654,3.371747880871523e-07
liver_60,liver_60.nii.gz,0.6711230278015137,0.0,0.00010182611003983766,1.6506829682904347e-07,0.0031698530074208975,4.860058468912468e-06,49.97922325134277,0.013317055430290166,0.9057140946388245,1.7701676374575492e-06,1.5821258192438847e-10,0.0,1.0000029533330235e-06,0.0,119.99996948242188,0.0,0.907838761806488,1.8544613344793373e-06,0.00030961733136791736,5.019138126622044e-07,0.005527418805286288,8.474480000975623e-06,45.149559020996094,0.013314358031985468,0.9013789296150208,1.6858739404357613e-06
liver_7,liver_7.nii.gz,0.6697335243225098,0.0,0.0003718276566360146,4.5246123601587705e-07,0.005597026785835624,5.858082670760279e-06,45.040855407714844,0.009090232286829624,0.9108518660068512,4.256831699600297e-06,3.0923824612116846e-10,0.0,1.0000053407566156e-06,0.0,119.99995422363281,0.0,0.9151232242584229,8.682250793244171e-06,0.0011258407612331212,1.3700195307945496e-06,0.009739241562783718,1.0192951894556528e-05,40.2295036315918,0.009090232286829624,0.9021906852722168,4.551859639176556e-06
liver_75,liver_75.nii.gz,0.6739368438720703,0.0,2.9700204322580248e-05,3.960013342142961e-08,0.0015625358209945261,3.0540824738333584e-06,56.1234073638916,0.016974727531459594,0.903544694185257,1.2644054553268208e-07,9.324309380165374e-11,0.0,1.000001930151484e-06,0.0,119.99998474121094,0.0,0.90486741065979,8.429369702178807e-08,9.108708036364987e-05,1.2146030269106278e-07,0.002736396621912718,5.3483692215816545e-06,51.256425857543945,0.016974727531459594,0.9008114039897919,6.322027276634105e-07
liver_78,liver_78.nii.gz,0.6747126579284668,0.0,7.885332524892874e-05,2.9561960065764895e-07,0.002342270454391837,2.932498694047049e-06,52.607261657714844,0.010875909964539182,0.9063527584075928,4.889034427263707e-06,1.7599109669586e-10,0.0,1.0000032943935366e-06,0.0,119.99996948242188,0.0,0.9085069000720978,6.195586731101423e-06,0.00024241094797616825,9.087811312582153e-07,0.004106798907741904,5.1415862460750805e-06,47.72993278503418,0.010873212566234487,0.9018852114677429,1.8544613344793373e-06
liver_84,liver_84.nii.gz,0.675717830657959,0.0,0.0005880614917259663,9.057044936349836e-07,0.007318100892007351,1.4474149740952186e-05,42.7120418548584,0.017179729802616582,0.9114596545696259,9.061572429842217e-06,3.1100191866251237e-10,0.0,1.000005227069778e-06,0.0,119.99995422363281,0.0,0.9160402417182922,1.6858739404357614e-07,0.0018134246347472072,2.7932165306087035e-06,0.012850997969508171,2.541718383010103e-05,37.821271896362305,0.017179729802616582,0.9019152820110321,2.8617710138897048e-05
liver_86,liver_86.nii.gz,0.6775059700012207,0.0,0.0004504364915192127,1.018109809341284e-06,0.00602704263292253,1.3562724141904104e-06,44.39791488647461,0.0019529163726007858,0.9116340577602386,7.122817398341091e-06,3.524373570762407e-10,0.0,1.000006022877642e-06,0.0,119.99993896484375,0.0,0.9157960414886475,1.1463942794963176e-05,0.001396727457176894,3.1569800532056583e-06,0.010613128542900085,2.38788238594534e-06,39.483131408691406,0.0019529163726007858,0.902890682220459,2.1073424255447017e-06
liver_91,liver_91.nii.gz,0.6755657196044922,0.0,0.0002389115688856691,1.4625038751343726e-06,0.004206272307783365,1.9932166623112963e-05,47.52210235595703,0.041162298129679545,0.9095942378044128,1.4161341099660394e-05,3.3268271470987543e-10,0.0,1.000006022877642e-06,0.0,119.99995422363281,0.0,0.9129910171031952,1.580506819158526e-05,0.0007363936456386,4.50786063423696e-06,0.007384719094261527,3.4993408792931745e-05,42.63336753845215,0.04115960073137485,0.9025216102600098,1.0789593218788873e-05
liver_98,liver_98.nii.gz,0.6743278503417969,0.0,0.0006120360339991748,3.415376454525378e-07,0.0072818410117179155,1.115245124268735e-06,42.75517654418945,0.0013325147625204256,0.9131525754928589,3.877510063002251e-06,3.944192195071139e-10,0.0,1.0000072734328569e-06,0.0,119.99993133544922,0.0,0.9179405868053436,7.459992186428244e-06,0.001879300398286432,1.0486498108989826e-06,0.012760006356984377,1.953901555184728e-06,37.88298225402832,0.0013298173642157284,0.903238981962204,3.582482123425993e-06

