case_id,path,slice_count,sampling_strategy,known_fraction,mae_all,rmse_all,psnr_all,ssim_all,mae_known,rmse_known,psnr_known,ssim_known,mae_missing,rmse_missing,psnr_missing,ssim_missing
liver_58,liver_58.nii.gz,64,fibonacci,0.6692333221435547,6.249554280657321e-05,0.002433144487440586,52.27664566040039,0.9046799540519714,1.5403098241328905e-10,1.0000030670198612e-06,119.99996948242188,0.906486988067627,0.00018894116510637105,0.004230648744851351,47.47186279296875,0.9010245203971863
liver_58,liver_58.nii.gz,128,fibonacci,0.8824577331542969,3.4084103390341625e-05,0.002359784906730056,52.54255294799805,0.9047974944114685,1.9041548893206084e-10,1.0000034080803744e-06,119.99996948242188,0.9054557681083679,0.0002899717364925891,0.006882961839437485,43.24449157714844,0.8998570442199707
liver_21,liver_21.nii.gz,4,fibonacci,0.07252025604248047,0.006863974966108799,0.040199704468250275,27.915542602539062,0.8485954999923706,7.838281347767595e-13,9.999999974752427e-07,120.0,0.8737918138504028,0.0074006738141179085,0.0417417511343956,27.588586807250977,0.8466253876686096
liver_21,liver_21.nii.gz,8,fibonacci,0.1361713409423828,0.0037983227521181107,0.02641296572983265,31.563655853271484,0.8728993535041809,1.7636857252423255e-11,1.0000002248489182e-06,120.0,0.8919731974601746,0.004397078882902861,0.0284186452627182,30.927932739257812,0.8698927164077759
liver_21,liver_21.nii.gz,16,fibonacci,0.2550201416015625,0.0018523073522374034,0.015188777819275856,36.369544982910156,0.8934444189071655,4.366706302105783e-11,1.000000679596269e-06,119.99999237060547,0.9024551510810852,0.0024863858707249165,0.017597483471035957,35.09098815917969,0.8903601169586182
liver_21,liver_21.nii.gz,32,fibonacci,0.4303016662597656,0.0009212955483235419,0.009762458503246307,40.20881652832031,0.9032398462295532,1.3550248423310762e-10,1.0000021575251594e-06,119.99998474121094,0.9100937247276306,0.001617163885384798,0.012934115715324879,37.76526641845703,0.8980634212493896
liver_21,liver_21.nii.gz,64,fibonacci,0.670475959777832,0.000273226760327816,0.004922077059745789,46.15703201293945,0.9096315503120422,2.973841173314895e-10,1.0000051133829402e-06,119.99995422363281,0.9133139848709106,0.0008291551494039595,0.008574421517550945,41.33590316772461,0.9021393656730652
liver_21,liver_21.nii.gz,128,fibonacci,0.8837876319885254,8.454823546344414e-05,0.0030783286783844233,50.23369598388672,0.9108235836029053,4.3132047933269746e-10,1.0000069323723437e-06,119.99993896484375,0.9121693968772888,0.0007275288226082921,0.009030021727085114,40.886226654052734,0.9005889892578125
liver_127,liver_127.nii.gz,4,fibonacci,0.0734109878540039,0.008188508450984955,0.04327099397778511,27.27606201171875,0.8414756059646606,9.67896986517336e-13,9.999999974752427e-07,120.0,0.8752722144126892,0.0088372603058815,0.04495244100689888,26.944934844970703,0.838797926902771
liver_127,liver_127.nii.gz,8,fibonacci,0.1376328468322754,0.004732743836939335,0.029811015352606773,30.51246452331543,0.8659737706184387,1.6713902831200222e-11,1.0000002248489182e-06,120.0,0.8894590139389038,0.005488084629178047,0.03210189566016197,29.869386672973633,0.8622255921363831
liver_127,liver_127.nii.gz,16,fibonacci,0.25874900817871094,0.002443376462906599,0.01841263845562935,34.69768142700195,0.8893851637840271,5.1183300653345754e-11,1.0000007932831068e-06,119.99999237060547,0.9005028009414673,0.0032962874975055456,0.02138618752360344,33.39733123779297,0.885504424571991
liver_127,liver_127.nii.gz,32,fibonacci,0.4335322380065918,0.0011377097107470036,0.010421236976981163,39.6416130065918,0.9034225940704346,1.5685391874242782e-10,1.0000023848988349e-06,119.99998474121094,0.9113155603408813,0.0020084278658032417,0.013846233487129211,37.17336654663086,0.8973821997642517
liver_127,liver_127.nii.gz,64,fibonacci,0.6765017509460449,0.00033278437331318855,0.0050139594823122025,45.99638366699219,0.911392092704773,3.53967688493384e-10,1.000006022877642e-06,119.99993896484375,0.915335476398468,0.0010287045734003186,0.008815457113087177,41.0951042175293,0.9031460881233215
liver_127,liver_127.nii.gz,128,fibonacci,0.8879976272583008,7.669022306799889e-05,0.0024836112279444933,52.09832763671875,0.9130003452301025,5.345783815613459e-10,1.0000085239880718e-06,119.99992370605469,0.9144641757011414,0.0006847153999842703,0.007421128451824188,42.590599060058594,0.9013956785202026
liver_75,liver_75.nii.gz,4,fibonacci,0.07315778732299805,0.0020407596603035927,0.020217468962073326,33.88546371459961,0.8828437924385071,7.769974984597749e-13,9.999999974752427e-07,120.0,0.8900801539421082,0.0022018414456397295,0.021000221371650696,33.55552291870117,0.8822726011276245
liver_75,liver_75.nii.gz,8,fibonacci,0.13700103759765625,0.0010413436684757471,0.014681392349302769,36.66465377807617,0.8945971727371216,8.525151938554298e-12,1.0000001111620804e-06,120.0,0.9016419053077698,0.0012066569179296494,0.01580382138490677,36.024757385253906,0.8934789896011353
liver_75,liver_75.nii.gz,16,fibonacci,0.25685596466064453,0.00039767747512087226,0.00748406769707799,42.51724624633789,0.9007891416549683,1.536197904994374e-11,1.0000002248489182e-06,120.0,0.9045997858047485,0.0005351284053176641,0.008681628853082657,41.22797393798828,0.8994722962379456
liver_75,liver_75.nii.gz,32,fibonacci,0.43200063705444336,0.00016959068307187408,0.004498292692005634,46.93904495239258,0.9025797843933105,4.522385244065674e-11,1.0000007932831068e-06,119.99999237060547,0.9050543308258057,0.00029857546905986965,0.005968617741018534,44.48252868652344,0.9006982445716858
liver_75,liver_75.nii.gz,64,fibonacci,0.6739368438720703,2.9672202799702063e-05,0.0015603762585669756,56.13541030883789,0.9035446047782898,9.324309380165374e-11,1.000001930151484e-06,119.99998474121094,0.9048674702644348,9.100119495997205e-05,0.002732614753767848,51.268428802490234,0.900810956954956
liver_75,liver_75.nii.gz,128,fibonacci,0.8859844207763672,9.240613508154638e-06,0.0009847183246165514,60.133758544921875,0.9036255478858948,1.1060803661866458e-10,1.0000020438383217e-06,119.99998474121094,0.9040145874023438,8.104608423309401e-05,0.0029162834398448467,50.703407287597656,0.9006034135818481
liver_86,liver_86.nii.gz,4,fibonacci,0.07336711883544922,0.01004414726048708,0.04918530955910683,26.163291931152344,0.8296187520027161,7.747805760675852e-13,9.999999974752427e-07,120.0,0.8707519769668579,0.010839402675628662,0.05109537020325661,25.832368850708008,0.8263620734214783
liver_86,liver_86.nii.gz,8,fibonacci,0.1378612518310547,0.006536385044455528,0.03752529248595238,28.513519287109375,0.8532143235206604,1.4489402733186552e-11,1.0000002248489182e-06,120.0,0.8832686543464661,0.007581593003123999,0.040414340794086456,27.86928939819336,0.8484085202217102
liver_86,liver_86.nii.gz,16,fibonacci,0.2590451240539551,0.0031810300424695015,0.021122770383954048,33.504981994628906,0.8840205073356628,4.812216944372061e-11,1.0000007932831068e-06,119.99999237060547,0.8978632688522339,0.004293149337172508,0.02453889325261116,32.20289993286133,0.8791810274124146
