case_id,slice_count,path,known_fraction_repeat_mean,known_fraction_repeat_std,mae_all_repeat_mean,mae_all_repeat_std,rmse_all_repeat_mean,rmse_all_repeat_std,psnr_all_repeat_mean,psnr_all_repeat_std,ssim_all_repeat_mean,ssim_all_repeat_std,mae_known_repeat_mean,mae_known_repeat_std,rmse_known_repeat_mean,rmse_known_repeat_std,psnr_known_repeat_mean,psnr_known_repeat_std,ssim_known_repeat_mean,ssim_known_repeat_std,mae_missing_repeat_mean,mae_missing_repeat_std,rmse_missing_repeat_mean,rmse_missing_repeat_std,psnr_missing_repeat_mean,psnr_missing_repeat_std,ssim_missing_repeat_mean,ssim_missing_repeat_std
liver_127,128,liver_127.nii.gz,0.8740288019180298,0.004573152520995967,7.908446605142672e-05,1.808091696863267e-05,0.00246307480847463,0.00038780518743790826,52.262189865112305,1.3412243238467314,0.9131766930222511,0.00016523553857716422,5.488207041604021e-10,1.0074281461154174e-11,1.0000089218920039e-06,1.8230451263145214e-13,119.99992370605469,0.0,0.9147936850786209,0.0001548346718265219,0.0006272532336879522,0.0001396456466602848,0.006936592923011631,0.0010543063069590594,43.262391567230225,1.2925770564010535,0.9019634202122688,0.0007481851067558807
liver_18,4,liver_18.nii.gz,0.0703008770942688,0.004917744404873558,0.008475453709252179,0.0014492219160194399,0.044762698002159595,0.005583906199002977,27.03601098060608,1.0177927065361696,0.8407493233680725,0.0075489759302497855,1.0364779442161541e-11,1.4326041385776849e-11,1.0000001253729351e-06,2.387616929287683e-13,119.99999904632568,2.6973983046972182e-06,0.8608178049325943,0.01350670052813336,0.009110270242672414,0.0015059846698927484,0.04641361255198717,0.005670625044630791,26.719382524490356,0.9992420747910942,0.839215062558651,0.007230711195737197
liver_18,8,liver_18.nii.gz,0.13688933849334717,0.004831058421571349,0.004885158792603761,0.00020263600208687748,0.031614601612091064,0.001071808141644634,30.00662589073181,0.29511505311803654,0.865884393453598,0.002284363612150241,2.4188364419058805e-11,7.137905921453273e-12,1.0000003385357559e-06,1.2153634175430143e-13,119.99999904632568,2.6973983046972182e-06,0.8902438879013062,0.0017166252229867606,0.005660444556269795,0.0002459492835271698,0.0340300896205008,0.001167656855982027,29.367230892181396,0.2989852123912288,0.8620114475488663,0.0027458957176020736
liver_18,16,liver_18.nii.gz,0.24840617179870605,0.005165174058956968,0.002426783787086606,0.00022930122128273352,0.018917833222076297,0.0018072670411673516,34.49656105041504,0.8178475209958775,0.8896885439753532,0.0018712585326248507,7.050507573602705e-11,1.0177125163154385e-11,1.0000010490784916e-06,1.324411579186557e-13,119.99999237060547,0.0,0.9037672430276871,0.0005080782030213858,0.0032293625408783555,0.0003100176735266557,0.02182264276780188,0.0020975675181092767,33.256303548812866,0.8236126222866422,0.8850290551781654,0.0024818200527275077
liver_18,32,liver_18.nii.gz,0.43024224042892456,0.005818858564239327,0.0011604253450059332,0.00020674762808342012,0.01105135923717171,0.001714777505858944,39.21682262420654,1.277770893939979,0.9025120139122009,0.0024488180361310953,1.738491781089202e-10,9.970487336682795e-12,1.0000027117484933e-06,1.8668294635473248e-13,119.99997901916504,7.897173606975794e-06,0.9115765243768692,0.0011512253473224142,0.00203661629348062,0.0003637719362846725,0.014640654437243938,0.002270331180875642,36.773529052734375,1.2737071742813886,0.8956646248698235,0.003497927462018474
liver_18,64,liver_18.nii.gz,0.6579011082649231,0.00958500830174448,0.00035047551136813127,3.135367612052591e-05,0.005399725050665438,0.00045463451848475446,45.378241539001465,0.7055167293501461,0.9105746746063232,0.00035102163355210013,3.7705420383171706e-10,1.6638947003785207e-11,1.000006520257557e-06,3.268937885596763e-13,119.99993896484375,0.0,0.9150315448641777,0.00032758506778874714,0.0010244757795589976,8.742732653955329e-05,0.009234001161530614,0.0007822204700170007,40.71828031539917,0.711649378287589,0.9020020738244057,0.0006179169083977809
liver_18,128,liver_18.nii.gz,0.8750673532485962,0.003927049554165491,6.705842179144383e-05,1.2410393894482095e-05,0.0022485066729132086,0.00023145104773281125,53.00263833999634,0.8982458761833877,0.9128406867384911,0.00019103263527410721,5.430869989830889e-10,1.2781485435554324e-11,1.0000087797834567e-06,2.560208546264228e-13,119.99992370605469,0.0,0.9144031032919884,0.00017869820408235746,0.0005368030942918267,9.832740076310582e-05,0.006361955543980002,0.0006469035725660485,43.96751356124878,0.883795316372765,0.9019046351313591,0.0003775588105272973
liver_21,4,liver_21.nii.gz,0.07207757234573364,0.0034442628978860424,0.007252066978253424,0.0011276319815711688,0.04067487036809325,0.004817894567864027,27.86597442626953,1.0173643822467804,0.8463440462946892,0.005522222231427839,5.8953309085580524e-12,7.441874479318617e-12,1.0000000543186616e-06,1.2153634175430143e-13,120.0,0.0,0.8664039298892021,0.011755697741230633,0.007813032483682036,0.0011976676144590192,0.04222062323242426,0.004958043458503611,27.541064739227295,1.0080270161990752,0.8447667062282562,0.005459734804307523
liver_21,8,liver_21.nii.gz,0.1348324418067932,0.003643898118617555,0.0037681021203752607,0.0005251716216999767,0.026457095751538873,0.003735909071465117,31.626036405563354,1.240885405797255,0.8736357167363167,0.003887025623617362,2.2836401281263463e-11,7.015466598148894e-12,1.0000003243249012e-06,1.1266720423067396e-13,120.0,0.0,0.888067401945591,0.004605959730527202,0.00435392459621653,0.0005948700117427174,0.028439265908673406,0.0039757774920650855,30.997004985809326,1.2287122942456252,0.8713856264948845,0.0042912060165673045
liver_21,16,liver_21.nii.gz,0.24707603454589844,0.0051091722339208275,0.0021845965820830315,0.00044258640174005346,0.017969195265322924,0.003761825485368269,35.054030418395996,1.6389912473826664,0.8902219459414482,0.0036087344976223914,6.393779212673922e-11,6.040414930562888e-12,1.0000009922350728e-06,8.038873388460929e-14,119.99999237060547,0.0,0.9029069617390633,0.000736246781887495,0.00290130078792572,0.00058966928159418,0.02070872625336051,0.0043474179147506686,33.82145357131958,1.6358377166921783,0.8860628083348274,0.004700551532707054
liver_21,32,liver_21.nii.gz,0.428025484085083,0.005251851686992251,0.0009568041787133552,0.00012146813970477098,0.00994520599488169,0.0010938574122933654,40.09269046783447,0.9398615987819157,0.9030941873788834,0.0013034269919217731,1.5484558947564953e-10,1.0777419355101163e-11,1.0000024133205443e-06,1.797546735911271e-13,119.99998474121094,0.0,0.9105504378676414,0.001011004088645019,0.0016735580866225064,0.00021992275017384974,0.013153474777936935,0.0014852201983836613,37.66629505157471,0.9605150006267585,0.8975140601396561,0.0017306725843815667
liver_21,64,liver_21.nii.gz,0.6559534072875977,0.011845734689780063,0.00034632866299944,9.594985824079336e-05,0.005701502552255988,0.0012411551967554328,45.04649829864502,1.7803063419453782,0.9089252427220345,0.0009557320183539772,3.1297745992087123e-10,1.0299528370311267e-11,1.0000055539194364e-06,2.0551414463046843e-13,119.99995422363281,0.0,0.9129737913608551,0.0006930054668686822,0.00100407288846327,0.000268375519469632,0.009714599116705358,0.002080432376228806,40.41044569015503,1.7348705615072744,0.9012086763978004,0.001380085545726768
liver_21,128,liver_21.nii.gz,0.8675844073295593,0.007098645303530201,6.219449778654962e-05,1.2502729126880601e-05,0.0023128451430238783,0.00030826461337210944,52.78409671783447,1.1532988314798445,0.9111908599734306,0.00010234741325496332,4.516620931427351e-10,7.145733542018532e-12,1.0000073444871305e-06,1.0415139755797376e-13,119.99993133544922,0.0,0.9126614108681679,0.0001112896952288767,0.0004679420562752057,8.027309529948449e-05,0.006350305280648172,0.0007580187439655796,43.99810600280762,1.0355947231633604,0.9015462622046471,0.00039027965197530105
liver_23,4,liver_23.nii.gz,0.07330995798110962,0.003211678197764522,0.005377601773943752,0.000597710731513199,0.03223097324371338,0.0033729001930151974,29.874950408935547,0.8898644295813772,0.8588914126157761,0.004529769651382379,6.8549214427612165e-12,6.066830388235369e-12,1.0000000685295163e-06,1.0415139755797376e-13,120.0,0.0,0.8684704154729843,0.01801202746976419,0.005803577951155603,0.0006491542639269614,0.03348312643356621,0.003515796353596634,29.54427218437195,0.8945239491605357,0.8580936789512634,0.004165976387318828
liver_23,8,liver_23.nii.gz,0.13431322574615479,0.0036396873215550013,0.003518302022712305,0.0004663802388354363,0.025331120239570737,0.0031929719820873712,31.986464023590088,1.0834798415848717,0.8769821003079414,0.0028869644408008655,2.2892581385235145e-11,5.465746415095215e-12,1.0000003385357559e-06,1.0525355944225241e-13,120.0,0.0,0.893762893974781,0.0029202316698818576,0.004063568281708285,0.0005332430111284728,0.02722355118021369,0.0034147620286058907,31.36003875732422,1.077688625007707,0.8743804097175598,0.0033544728329088815
liver_23,16,liver_23.nii.gz,0.24603092670440674,0.0033979520543864434,0.0017983207508223131,0.00012668247825736148,0.015726880868896842,0.001385355655348119,36.09632968902588,0.7592658141247914,0.8940315172076225,0.0010513048965397468,6.760499061606029e-11,7.627069252664932e-12,1.0000010490784916e-06,1.0077261099785555e-13,119.99999237060547,0.0,0.9047457650303841,0.0007692248978305763,0.0023850863508414477,0.00016636434688719614,0.01811177609488368,0.0015902005902824904,34.869826793670654,0.7578931912072241,0.8905350714921951,0.0012703378964367515
liver_23,32,liver_23.nii.gz,0.42953038215637207,0.0055232584643678025,0.0008467690058751032,0.00017726343084075943,0.009671348962001503,0.00179319846105969,40.40788173675537,1.4896567077716498,0.9036350846290588,0.0018457763128296078,1.539709436337855e-10,1.353805447995128e-11,1.000002427531399e-06,2.0097183471152322e-13,119.9999828338623,5.3947966093944364e-06,0.91074238717556,0.0007938113822502233,0.0014858922368148342,0.0003196834737315418,0.012809940031729639,0.00240836140386009,37.97002935409546,1.5109985017869676,0.8982773795723915,0.002820580297518542
liver_23,64,liver_23.nii.gz,0.6657081246376038,0.0054325209889945205,0.0003287558392912615,4.3096825040920133e-05,0.005726217234041542,0.0007894719568701822,44.9093656539917,1.1291907324023533,0.9083747267723083,0.0004096243796971844,2.988350678023721e-10,1.044607796175636e-11,1.0000053549674703e-06,1.9632445861745936e-13,119.99995422363281,0.0,0.9119091182947159,0.00022264472064471665,0.0009827844623941928,0.00012228072722693048,0.009900129167363048,0.0013284856152127517,40.15012454986572,1.0955780594586895,0.9013404622673988,0.0009394703711728675
liver_23,128,liver_23.nii.gz,0.8706120252609253,0.004752906910909556,6.9428623191925e-05,1.8070740984299518e-05,0.002629372291266918,0.00043590912265169425,51.708199977874756,1.450131098929922,0.9103254303336143,0.0001678555479951132,4.2847748613072945e-10,1.1538138936337383e-11,1.0000070602700362e-06,1.7651558534001843e-13,119.9999361038208,3.948586803487897e-06,0.9116673693060875,0.000203893581728152,0.0005389672733144835,0.0001509070291347844,0.00731645297491923,0.0012443887204418504,42.82463312149048,1.486400014477201,0.901300847530365,0.0001972392460550134
liver_25,4,liver_25.nii.gz,0.07121479511260986,0.002322276614947176,0.011281928396783769,0.0019964753984113995,0.05690145958214998,0.007382958614814837,24.962177276611328,1.1371687251198597,0.8315643295645714,0.007243844470824696,3.450483768065865e-12,2.47980996951e-12,1.0000000258969521e-06,5.262677972112621e-14,120.0,0.0,0.8491529747843742,0.010183685513344599,0.012146500987000763,0.0021453955602191866,0.05904226377606392,0.007653956739958639,24.641318321228027,1.1368041750315832,0.8302113339304924,0.007360190953534961
liver_25,8,liver_25.nii.gz,0.13562214374542236,0.0031739737840902537,0.005571735498961061,0.0006877424571152903,0.03675527684390545,0.003563566737991199,28.72907590866089,0.8377982671031686,0.8652408570051193,0.0035788097820624734,2.064212548721217e-11,5.189069818746469e-12,1.0000002959031917e-06,5.883852844667281e-14,120.0,0.0,0.8877642303705215,0.002577173981402547,0.006447151710744947,0.0008078671405344952,0.039536708034574986,0.0038687907394240723,28.096086025238037,0.8449925981401051,0.8616940379142761,0.004364965952186833
